AMBUJACEM: ROCE anomaly | computed=20.19, source=12.8
AMBUJACEM: ROCE anomaly | computed=18.73, source=12.8
AMBUJACEM: ROCE anomaly | computed=20.68, source=12.8
AMBUJACEM: ROCE anomaly | computed=22.43, source=12.8
AMBUJACEM: ROCE anomaly | computed=21.78, source=12.8
AMBUJACEM: ROCE anomaly | computed=22.23, source=12.8
AMBUJACEM: ROE anomaly | computed=14.64, source=9.24
AMBUJACEM: ROCE anomaly | computed=23.30, source=12.8
AMBUJACEM: ROCE anomaly | computed=18.99, source=12.8
APOLLOHOSP: ROCE anomaly | computed=23.58, source=17.2
APOLLOHOSP: ROCE anomaly | computed=23.87, source=17.2
APOLLOHOSP: ROCE anomaly | computed=23.17, source=17.2
APOLLOHOSP: ROE anomaly | computed=7.05, source=13.81
APOLLOHOSP: ROE anomaly | computed=3.95, source=13.81
APOLLOHOSP: ROE anomaly | computed=1.85, source=13.81
APOLLOHOSP: ROCE anomaly | computed=22.25, source=17.2
APOLLOHOSP: ROE anomaly | computed=6.00, source=13.81
APOLLOHOSP: ROCE anomaly | computed=25.87, source=17.2
APOLLOHOSP: ROCE anomaly | computed=27.99, source=17.2
APOLLOHOSP: ROE anomaly | computed=2.98, source=13.81
APOLLOHOSP: ROCE anomaly | computed=22.28, source=17.2
APOLLOHOSP: ROE anomaly | computed=19.70, source=13.81
APOLLOHOSP: ROCE anomaly | computed=32.74, source=17.2
APOLLOHOSP: ROCE anomaly | computed=30.92, source=17.2
APOLLOHOSP: ROCE anomaly | computed=30.63, source=17.2
ASIANPAINT: ROCE anomaly | computed=47.10, source=41.75
ASIANPAINT: ROCE anomaly | computed=47.10, source=41.75
ASIANPAINT: ROE anomaly | computed=24.95, source=31.45
ASIANPAINT: ROE anomaly | computed=24.95, source=31.45
ASIANPAINT: ROE anomaly | computed=23.31, source=31.45
ASIANPAINT: ROCE anomaly | computed=36.73, source=41.75
ASIANPAINT: ROE anomaly | computed=23.31, source=31.45
ASIANPAINT: ROCE anomaly | computed=36.73, source=41.75
ASIANPAINT: ROE anomaly | computed=25.04, source=31.45
ASIANPAINT: ROCE anomaly | computed=35.69, source=41.75
ASIANPAINT: ROE anomaly | computed=25.04, source=31.45
ASIANPAINT: ROCE anomaly | computed=35.69, source=41.75
ASIANPAINT: ROE anomaly | computed=22.34, source=31.45
ASIANPAINT: ROE anomaly | computed=22.34, source=31.45
ASIANPAINT: ROE anomaly | computed=26.23, source=31.45
ASIANPAINT: ROE anomaly | computed=26.23, source=31.45
BAJAJ-AUTO: ROE anomaly | computed=38.85, source=26.5
BAJAJ-AUTO: ROCE anomaly | computed=49.84, source=33.5
BAJAJ-AUTO: ROE anomaly | computed=38.85, source=26.5
BAJAJ-AUTO: ROCE anomaly | computed=49.84, source=33.5
BAJAJ-AUTO: ROE anomaly | computed=33.24, source=26.5
BAJAJ-AUTO: ROCE anomaly | computed=43.11, source=33.5
BAJAJ-AUTO: ROE anomaly | computed=33.24, source=26.5
BAJAJ-AUTO: ROCE anomaly | computed=43.11, source=33.5
BAJAJ-AUTO: ROCE anomaly | computed=41.38, source=33.5
BAJAJ-AUTO: ROCE anomaly | computed=41.38, source=33.5
BAJAJ-AUTO: ROCE anomaly | computed=41.63, source=33.5
BAJAJ-AUTO: ROCE anomaly | computed=41.63, source=33.5
BAJAJ-AUTO: ROE anomaly | computed=20.66, source=26.5
BAJAJ-AUTO: ROE anomaly | computed=20.66, source=26.5
BAJAJ-AUTO: ROE anomaly | computed=21.21, source=26.5
BAJAJ-AUTO: ROE anomaly | computed=21.21, source=26.5
BAJAJ-AUTO: ROE anomaly | computed=17.81, source=26.5
BAJAJ-AUTO: ROCE anomaly | computed=27.19, source=33.5
BAJAJ-AUTO: ROE anomaly | computed=17.81, source=26.5
BAJAJ-AUTO: ROCE anomaly | computed=27.19, source=33.5
BAJAJ-AUTO: ROE anomaly | computed=20.65, source=26.5
BAJAJ-AUTO: ROE anomaly | computed=20.65, source=26.5
BAJAJ-AUTO: ROE anomaly | computed=20.64, source=26.5
BAJAJ-AUTO: ROE anomaly | computed=20.64, source=26.5
AXISBANK: High D/E suppressed (Financial sector)
AXISBANK: ROCE anomaly | computed=14.71, source=7.06
AXISBANK: High D/E suppressed (Financial sector)
AXISBANK: ROCE anomaly | computed=15.12, source=7.06
AXISBANK: High D/E suppressed (Financial sector)
AXISBANK: ROCE anomaly | computed=15.09, source=7.06
AXISBANK: High D/E suppressed (Financial sector)
AXISBANK: ROCE anomaly | computed=15.03, source=7.06
AXISBANK: High D/E suppressed (Financial sector)
AXISBANK: ROE anomaly | computed=6.53, source=18.4
AXISBANK: ROCE anomaly | computed=17.10, source=7.06
AXISBANK: High D/E suppressed (Financial sector)
AXISBANK: ROE anomaly | computed=0.43, source=18.4
AXISBANK: ROCE anomaly | computed=17.23, source=7.06
AXISBANK: High D/E suppressed (Financial sector)
AXISBANK: ROE anomaly | computed=6.90, source=18.4
AXISBANK: ROCE anomaly | computed=16.11, source=7.06
AXISBANK: High D/E suppressed (Financial sector)
